fecha	cp	minsplit	minbucket	maxdepth	prob_corte	xval_folds	ganancia	iteracion
20230513 155253	-0.464378855325817	6159.62573511692	2928.76697114516	5	0.0437829564931848	5	49566000	111
20230513 155307	-0.741932330699598	7528.39019820005	3758.3458825071	19	0.0525627423715552	5	50322000	112
20230513 155325	-0.363176268691012	1748.84105732062	354.608740288376	12	0.0660565532399339	5	49614000	113
20230513 155344	-0.607907128760528	1385.60918759217	636.421108685224	14	0.0353665038868981	5	50805000	114
20230513 155400	-0.402310097614603	5698.10279309004	2848.29681442369	19	0.0266855369318624	5	45405000	115
20230513 155410	-0.419656170741095	6364.23086336764	3181.59129740472	3	0.0639884268481464	5	50073000	116
20230513 155423	-0.485164325406181	5339.37827385095	2666.44074763068	6	0.0797200815296434	5	48888000	117
20230513 155437	-0.891524481221881	7865.03578511517	3877.79394334851	18	0.0620453620216552	5	49269000	118
20230513 155454	-0.884721756504017	3452.49641037583	1690.00507094406	13	0.0742377172815374	5	46422000	119
20230513 155503	-0.624270458451142	7062.87925741612	1352.22861132491	3	0.0575257791414846	5	49269000	120
