envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
370	2970000	3210000	2850000	2850000	3210000	2730000	
371	2967000	3207000	2847000	2847000	3207000	2727000	
372	2964000	3204000	2844000	2844000	3204000	2724000	
373	2961000	3201000	2841000	2841000	3201000	2721000	
374	2982000	3198000	2958000	2838000	3198000	2718000	
375	3003000	3195000	2955000	2835000	3315000	2715000	
376	3e+06	3192000	2952000	2832000	3312000	2712000	
377	3021000	3189000	2949000	2829000	3309000	2829000	
378	3018000	3186000	2946000	2826000	3306000	2826000	
379	3015000	3183000	2943000	2823000	3303000	2823000	
380	3012000	3180000	2940000	2820000	3300000	2820000	
381	3009000	3177000	2937000	2817000	3297000	2817000	
382	3030000	3174000	3054000	2814000	3294000	2814000	
383	3027000	3171000	3051000	2811000	3291000	2811000	
384	3024000	3168000	3048000	2808000	3288000	2808000	
385	3045000	3165000	3045000	2805000	3405000	2805000	
386	3042000	3162000	3042000	2802000	3402000	2802000	
387	3039000	3159000	3039000	2799000	3399000	2799000	
388	3036000	3156000	3036000	2796000	3396000	2796000	
389	3033000	3153000	3033000	2793000	3393000	2793000	
390	3054000	3150000	3030000	2910000	3390000	2790000	
391	3075000	3147000	3027000	2907000	3387000	2907000	
392	3072000	3144000	3024000	2904000	3384000	2904000	
393	3093000	3261000	3021000	2901000	3381000	2901000	
394	3114000	3378000	3018000	2898000	3378000	2898000	
395	3111000	3375000	3015000	2895000	3375000	2895000	
396	3108000	3372000	3012000	2892000	3372000	2892000	
397	3105000	3369000	3009000	2889000	3369000	2889000	
398	3126000	3486000	3006000	2886000	3366000	2886000	
399	3123000	3483000	3003000	2883000	3363000	2883000	
400	3120000	3480000	3e+06	2880000	3360000	2880000	
401	3117000	3477000	2997000	2877000	3357000	2877000	
402	3138000	3594000	2994000	2874000	3354000	2874000	
403	3135000	3591000	2991000	2871000	3351000	2871000	
404	3156000	3588000	2988000	2868000	3348000	2988000	
405	3153000	3585000	2985000	2865000	3345000	2985000	
406	3150000	3582000	2982000	2862000	3342000	2982000	
407	3147000	3579000	2979000	2859000	3339000	2979000	
408	3144000	3576000	2976000	2856000	3336000	2976000	
409	3141000	3573000	2973000	2853000	3333000	2973000	
410	3138000	3570000	2970000	2850000	3330000	2970000	
411	3135000	3567000	2967000	2847000	3327000	2967000	
412	3132000	3564000	2964000	2844000	3324000	2964000	
413	3129000	3561000	2961000	2841000	3321000	2961000	
414	3126000	3558000	2958000	2838000	3318000	2958000	
415	3147000	3555000	2955000	2835000	3435000	2955000	
416	3144000	3552000	2952000	2832000	3432000	2952000	
417	3141000	3549000	2949000	2829000	3429000	2949000	
418	3138000	3546000	2946000	2826000	3426000	2946000	
419	3135000	3543000	2943000	2823000	3423000	2943000	
420	3132000	3540000	2940000	2820000	3420000	2940000	
421	3153000	3537000	3057000	2817000	3417000	2937000	
422	3150000	3534000	3054000	2814000	3414000	2934000	
423	3171000	3531000	3051000	2811000	3411000	3051000	
424	3168000	3528000	3048000	2808000	3408000	3048000	
425	3165000	3525000	3045000	2805000	3405000	3045000	
426	3186000	3522000	3162000	2802000	3402000	3042000	
427	3207000	3639000	3159000	2799000	3399000	3039000	
428	3204000	3636000	3156000	2796000	3396000	3036000	
429	3201000	3633000	3153000	2793000	3393000	3033000	
430	3246000	3630000	3150000	2910000	3390000	3150000	
431	3243000	3627000	3147000	2907000	3387000	3147000	
432	3240000	3624000	3144000	2904000	3384000	3144000	
433	3237000	3621000	3141000	2901000	3381000	3141000	
434	3234000	3618000	3138000	2898000	3378000	3138000	
435	3231000	3615000	3135000	2895000	3375000	3135000	
436	3252000	3612000	3132000	2892000	3372000	3252000	
437	3273000	3609000	3129000	2889000	3369000	3369000	
438	3294000	3606000	3246000	2886000	3366000	3366000	
439	3315000	3603000	3243000	2883000	3483000	3363000	
440	3312000	3600000	3240000	2880000	3480000	3360000	
441	3309000	3597000	3237000	2877000	3477000	3357000	
442	3306000	3594000	3234000	2874000	3474000	3354000	
443	3303000	3591000	3231000	2871000	3471000	3351000	
444	3300000	3588000	3228000	2868000	3468000	3348000	
445	3297000	3585000	3225000	2865000	3465000	3345000	
446	3318000	3582000	3222000	2862000	3462000	3462000	
447	3315000	3579000	3219000	2859000	3459000	3459000	
448	3312000	3576000	3216000	2856000	3456000	3456000	
449	3309000	3573000	3213000	2853000	3453000	3453000	
450	3330000	3570000	3210000	2850000	3450000	3570000	
451	3351000	3687000	3207000	2847000	3447000	3567000	
452	3348000	3684000	3204000	2844000	3444000	3564000	
453	3345000	3681000	3201000	2841000	3441000	3561000	
454	3342000	3678000	3198000	2838000	3438000	3558000	
455	3363000	3675000	3195000	2835000	3435000	3675000	
456	3360000	3672000	3192000	2832000	3432000	3672000	
457	3381000	3789000	3189000	2829000	3429000	3669000	
458	3378000	3786000	3186000	2826000	3426000	3666000	
459	3375000	3783000	3183000	2823000	3423000	3663000	
460	3372000	3780000	3180000	2820000	3420000	3660000	
461	3369000	3777000	3177000	2817000	3417000	3657000	
462	3366000	3774000	3174000	2814000	3414000	3654000	
463	3363000	3771000	3171000	2811000	3411000	3651000	
464	3360000	3768000	3168000	2808000	3408000	3648000	
465	3357000	3765000	3165000	2805000	3405000	3645000	
466	3354000	3762000	3162000	2802000	3402000	3642000	
467	3351000	3759000	3159000	2799000	3399000	3639000	
468	3348000	3756000	3156000	2796000	3396000	3636000	
469	3345000	3753000	3153000	2793000	3393000	3633000	
470	3390000	3870000	3270000	2790000	3390000	3630000	
471	3411000	3867000	3267000	2787000	3507000	3627000	
