envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
354	2154000	1938000	1818000	1938000	2658000	2418000	
355	2151000	1935000	1815000	1935000	2655000	2415000	
356	2172000	1932000	1812000	1932000	2772000	2412000	
357	2193000	2049000	1809000	1929000	2769000	2409000	
358	2214000	2166000	1806000	1926000	2766000	2406000	
359	2235000	2163000	1923000	1923000	2763000	2403000	
360	2256000	2160000	1920000	2040000	2760000	2400000	
361	2277000	2157000	1917000	2157000	2757000	2397000	
362	2274000	2154000	1914000	2154000	2754000	2394000	
363	2271000	2151000	1911000	2151000	2751000	2391000	
364	2292000	2148000	1908000	2148000	2868000	2388000	
365	2289000	2145000	1905000	2145000	2865000	2385000	
366	2310000	2142000	2022000	2142000	2862000	2382000	
367	2331000	2259000	2019000	2139000	2859000	2379000	
368	2328000	2256000	2016000	2136000	2856000	2376000	
369	2325000	2253000	2013000	2133000	2853000	2373000	
370	2370000	2250000	2130000	2250000	2850000	2370000	
371	2367000	2247000	2127000	2247000	2847000	2367000	
372	2364000	2244000	2124000	2244000	2844000	2364000	
373	2409000	2361000	2241000	2241000	2841000	2361000	
374	2454000	2358000	2358000	2238000	2958000	2358000	
375	2475000	2475000	2355000	2235000	2955000	2355000	
376	2472000	2472000	2352000	2232000	2952000	2352000	
377	2469000	2469000	2349000	2229000	2949000	2349000	
378	2490000	2466000	2346000	2346000	2946000	2346000	
379	2487000	2463000	2343000	2343000	2943000	2343000	
380	2484000	2460000	2340000	2340000	2940000	2340000	
381	2481000	2457000	2337000	2337000	2937000	2337000	
382	2478000	2454000	2334000	2334000	2934000	2334000	
383	2499000	2451000	2451000	2331000	2931000	2331000	
384	2496000	2448000	2448000	2328000	2928000	2328000	
385	2493000	2445000	2445000	2325000	2925000	2325000	
386	2514000	2442000	2442000	2322000	2922000	2442000	
387	2535000	2439000	2559000	2319000	2919000	2439000	
388	2532000	2436000	2556000	2316000	2916000	2436000	
389	2529000	2433000	2553000	2313000	2913000	2433000	
390	2526000	2430000	2550000	2310000	2910000	2430000	
391	2547000	2427000	2667000	2307000	2907000	2427000	
392	2568000	2424000	2784000	2304000	2904000	2424000	
393	2589000	2421000	2781000	2301000	3021000	2421000	
394	2610000	2418000	2898000	2298000	3018000	2418000	
395	2607000	2415000	2895000	2295000	3015000	2415000	
396	2652000	2532000	3012000	2292000	3012000	2412000	
397	2649000	2529000	3009000	2289000	3009000	2409000	
398	2646000	2526000	3006000	2286000	3006000	2406000	
399	2643000	2523000	3003000	2283000	3003000	2403000	
400	2688000	2640000	3e+06	2280000	3e+06	2520000	
401	2709000	2637000	2997000	2277000	2997000	2637000	
402	2730000	2634000	2994000	2274000	2994000	2754000	
403	2775000	2631000	2991000	2391000	3111000	2751000	
404	2796000	2628000	3108000	2388000	3108000	2748000	
405	2841000	2625000	3225000	2385000	3225000	2745000	
406	2862000	2622000	3222000	2502000	3222000	2742000	
407	2859000	2619000	3219000	2499000	3219000	2739000	
408	2856000	2616000	3216000	2496000	3216000	2736000	
409	2853000	2613000	3213000	2493000	3213000	2733000	
410	2850000	2610000	3210000	2490000	3210000	2730000	
411	2895000	2607000	3327000	2607000	3207000	2727000	
412	2916000	2604000	3324000	2604000	3324000	2724000	
413	2937000	2601000	3321000	2601000	3441000	2721000	
414	2982000	2718000	3438000	2598000	3438000	2718000	
415	3003000	2715000	3435000	2715000	3435000	2715000	
416	3e+06	2712000	3432000	2712000	3432000	2712000	
417	3021000	2709000	3429000	2709000	3429000	2829000	
418	3018000	2706000	3426000	2706000	3426000	2826000	
419	3015000	2703000	3423000	2703000	3423000	2823000	
420	3036000	2700000	3540000	2700000	3420000	2820000	
421	3033000	2697000	3537000	2697000	3417000	2817000	
422	3078000	2694000	3534000	2814000	3414000	2934000	
423	3099000	2811000	3531000	2811000	3411000	2931000	
424	3144000	2808000	3648000	2808000	3408000	3048000	
425	3189000	2925000	3645000	2805000	3525000	3045000	
426	3234000	2922000	3642000	2922000	3522000	3162000	
427	3255000	2919000	3639000	2919000	3519000	3279000	
428	3252000	2916000	3636000	2916000	3516000	3276000	
429	3249000	2913000	3633000	2913000	3513000	3273000	
430	3246000	2910000	3630000	2910000	3510000	3270000	
431	3267000	2907000	3627000	2907000	3627000	3267000	
432	3288000	2904000	3744000	2904000	3624000	3264000	
433	3309000	2901000	3741000	2901000	3621000	3381000	
434	3306000	2898000	3738000	2898000	3618000	3378000	
435	3351000	2895000	3855000	2895000	3615000	3495000	
436	3348000	2892000	3852000	2892000	3612000	3492000	
437	3345000	2889000	3849000	2889000	3609000	3489000	
438	3342000	2886000	3846000	2886000	3606000	3486000	
439	3339000	2883000	3843000	2883000	3603000	3483000	
440	3360000	2880000	3840000	2880000	3600000	3600000	
441	3381000	2997000	3837000	2877000	3597000	3597000	
442	3378000	2994000	3834000	2874000	3594000	3594000	
443	3399000	2991000	3831000	2871000	3591000	3711000	
444	3396000	2988000	3828000	2868000	3588000	3708000	
445	3441000	2985000	3945000	2865000	3585000	3825000	
446	3486000	2982000	4062000	2982000	3582000	3822000	
447	3483000	2979000	4059000	2979000	3579000	3819000	
448	3504000	2976000	4056000	3096000	3576000	3816000	
449	3549000	3093000	4053000	3093000	3693000	3813000	
450	3570000	3090000	4050000	3090000	3690000	3930000	
451	3567000	3087000	4047000	3087000	3687000	3927000	
452	3612000	3084000	4164000	3084000	3804000	3924000	
453	3633000	3081000	4161000	3201000	3801000	3921000	
454	3630000	3078000	4158000	3198000	3798000	3918000	
455	3675000	3075000	4155000	3195000	3915000	4035000	
456	3696000	3072000	4152000	3192000	4032000	4032000	
457	3717000	3069000	4149000	3309000	4029000	4029000	
458	3714000	3066000	4146000	3306000	4026000	4026000	
459	3711000	3063000	4143000	3303000	4023000	4023000	
460	3732000	3180000	4140000	3300000	4020000	4020000	
461	3753000	3297000	4137000	3297000	4017000	4017000	
462	3750000	3294000	4134000	3294000	4014000	4014000	
463	3747000	3291000	4131000	3291000	4011000	4011000	
464	3792000	3288000	4248000	3408000	4008000	4008000	
465	3789000	3285000	4245000	3405000	4005000	4005000	
466	3810000	3282000	4362000	3402000	4002000	4002000	
467	3831000	3279000	4479000	3399000	3999000	3999000	
468	3828000	3276000	4476000	3396000	3996000	3996000	
469	3849000	3273000	4473000	3513000	3993000	3993000	
470	3870000	3390000	4470000	3510000	3990000	3990000	
471	3915000	3387000	4587000	3507000	3987000	4107000	
472	3936000	3384000	4584000	3624000	3984000	4104000	
473	3933000	3381000	4581000	3621000	3981000	4101000	
474	3954000	3378000	4578000	3738000	3978000	4098000	
475	3975000	3375000	4575000	3735000	4095000	4095000	
476	3972000	3372000	4572000	3732000	4092000	4092000	
477	3993000	3369000	4569000	3849000	4089000	4089000	
478	3990000	3366000	4566000	3846000	4086000	4086000	
479	4011000	3363000	4683000	3843000	4083000	4083000	
480	4008000	3360000	4680000	3840000	4080000	4080000	
481	4053000	3357000	4797000	3837000	4197000	4077000	
482	4074000	3354000	4794000	3834000	4194000	4194000	
483	4119000	3471000	4791000	3831000	4311000	4191000	
484	4140000	3468000	4788000	3828000	4308000	4308000	
485	4161000	3585000	4785000	3825000	4305000	4305000	
486	4182000	3702000	4782000	3822000	4302000	4302000	
487	4179000	3699000	4779000	3819000	4299000	4299000	
