envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
352	3192000	3264000	3144000	2904000	3384000	3264000	
353	3189000	3261000	3141000	2901000	3381000	3261000	
354	3186000	3258000	3138000	2898000	3378000	3258000	
355	3207000	3255000	3135000	3015000	3375000	3255000	
356	3204000	3252000	3132000	3012000	3372000	3252000	
357	3225000	3249000	3129000	3129000	3369000	3249000	
358	3222000	3246000	3126000	3126000	3366000	3246000	
359	3219000	3243000	3123000	3123000	3363000	3243000	
360	3240000	3240000	3240000	3120000	3360000	3240000	
361	3237000	3237000	3237000	3117000	3357000	3237000	
362	3282000	3234000	3234000	3234000	3354000	3354000	
363	3279000	3231000	3231000	3231000	3351000	3351000	
364	3300000	3228000	3228000	3228000	3468000	3348000	
365	3297000	3225000	3225000	3225000	3465000	3345000	
366	3318000	3222000	3342000	3222000	3462000	3342000	
367	3315000	3219000	3339000	3219000	3459000	3339000	
368	3312000	3216000	3336000	3216000	3456000	3336000	
369	3333000	3213000	3453000	3213000	3453000	3333000	
370	3378000	3330000	3450000	3330000	3450000	3330000	
371	3375000	3327000	3447000	3327000	3447000	3327000	
372	3396000	3324000	3444000	3444000	3444000	3324000	
373	3393000	3321000	3441000	3441000	3441000	3321000	
374	3414000	3318000	3558000	3438000	3438000	3318000	
375	3411000	3315000	3555000	3435000	3435000	3315000	
376	3432000	3312000	3552000	3432000	3552000	3312000	
377	3429000	3309000	3549000	3429000	3549000	3309000	
378	3426000	3306000	3546000	3426000	3546000	3306000	
379	3423000	3303000	3543000	3423000	3543000	3303000	
380	3444000	3300000	3660000	3420000	3540000	3300000	
381	3465000	3297000	3657000	3417000	3537000	3417000	
382	3486000	3414000	3654000	3414000	3534000	3414000	
383	3483000	3411000	3651000	3411000	3531000	3411000	
384	3480000	3408000	3648000	3408000	3528000	3408000	
385	3477000	3405000	3645000	3405000	3525000	3405000	
386	3474000	3402000	3642000	3402000	3522000	3402000	
387	3471000	3399000	3639000	3399000	3519000	3399000	
388	3468000	3396000	3636000	3396000	3516000	3396000	
389	3489000	3393000	3633000	3393000	3513000	3513000	
390	3486000	3390000	3630000	3390000	3510000	3510000	
391	3483000	3387000	3627000	3387000	3507000	3507000	
392	3504000	3384000	3624000	3504000	3504000	3504000	
393	3501000	3381000	3621000	3501000	3501000	3501000	
394	3522000	3498000	3618000	3498000	3498000	3498000	
395	3519000	3495000	3615000	3495000	3495000	3495000	
396	3516000	3492000	3612000	3492000	3492000	3492000	
397	3513000	3489000	3609000	3489000	3489000	3489000	
398	3510000	3486000	3606000	3486000	3486000	3486000	
399	3531000	3483000	3603000	3603000	3483000	3483000	
400	3528000	3480000	3600000	3600000	3480000	3480000	
401	3525000	3477000	3597000	3597000	3477000	3477000	
402	3522000	3474000	3594000	3594000	3474000	3474000	
403	3519000	3471000	3591000	3591000	3471000	3471000	
404	3540000	3468000	3588000	3588000	3588000	3468000	
405	3561000	3465000	3585000	3585000	3585000	3585000	
406	3558000	3462000	3582000	3582000	3582000	3582000	
407	3579000	3459000	3699000	3579000	3579000	3579000	
408	3576000	3456000	3696000	3576000	3576000	3576000	
409	3621000	3453000	3813000	3693000	3573000	3573000	
410	3618000	3450000	3810000	3690000	3570000	3570000	
411	3615000	3447000	3807000	3687000	3567000	3567000	
412	3612000	3444000	3804000	3684000	3564000	3564000	
413	3609000	3441000	3801000	3681000	3561000	3561000	
414	3606000	3438000	3798000	3678000	3558000	3558000	
415	3603000	3435000	3795000	3675000	3555000	3555000	
416	3600000	3432000	3792000	3672000	3552000	3552000	
417	3597000	3429000	3789000	3669000	3549000	3549000	
418	3594000	3426000	3786000	3666000	3546000	3546000	
419	3615000	3423000	3783000	3663000	3543000	3663000	
420	3612000	3420000	3780000	3660000	3540000	3660000	
421	3609000	3417000	3777000	3657000	3537000	3657000	
422	3630000	3534000	3774000	3654000	3534000	3654000	
423	3627000	3531000	3771000	3651000	3531000	3651000	
424	3624000	3528000	3768000	3648000	3528000	3648000	
425	3669000	3645000	3765000	3765000	3525000	3645000	
426	3714000	3642000	3882000	3882000	3522000	3642000	
427	3711000	3639000	3879000	3879000	3519000	3639000	
428	3708000	3636000	3876000	3876000	3516000	3636000	
429	3705000	3633000	3873000	3873000	3513000	3633000	
430	3726000	3630000	3870000	3870000	3510000	3750000	
431	3771000	3627000	3867000	3867000	3627000	3867000	
432	3792000	3624000	3864000	3984000	3624000	3864000	
433	3789000	3621000	3861000	3981000	3621000	3861000	
434	3786000	3618000	3858000	3978000	3618000	3858000	
435	3807000	3735000	3855000	3975000	3615000	3855000	
436	3804000	3732000	3852000	3972000	3612000	3852000	
437	3801000	3729000	3849000	3969000	3609000	3849000	
438	3798000	3726000	3846000	3966000	3606000	3846000	
439	3819000	3723000	3963000	3963000	3603000	3843000	
440	3840000	3720000	4080000	3960000	3600000	3840000	
441	3837000	3717000	4077000	3957000	3597000	3837000	
