fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	lambda_l1	lambda_l2	 min_gain_to_split	ganancia	iteracion
20230516 200410	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	7	TRUE	999961	0.248041139835575	0.865873885947835	3770	824	11814	44.4022048176193	17.7799108340186	165.804702016035	53370000	119
20230516 200438	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	159	TRUE	999961	0.0847763387972056	0.300996477621691	4019	94	14475	36.0735856687825	92.778776506082	0.0149421628071553	59175000	120
20230516 200449	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	16	TRUE	999961	0.130435715330522	0.202815427119754	6695	94	8660	97.0556731189481	91.633072861484	624.577527685615	52260000	121
20230516 200457	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	4	TRUE	999961	0.146023619980919	0.942099192212336	1727	1004	6090	15.0407692723908	92.9644791402621	236.830635902006	48210000	122
20230516 200616	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	412	TRUE	999961	0.010442454743382	0.21090975449851	1538	799	14978	49.884459963032	74.9963354180341	22.0130702323777	56955000	123
20230516 200625	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	4	TRUE	999961	0.241538912084811	0.442713826109733	6809	778	13087	26.0772747779891	21.6519488732246	616.61323574069	46905000	124
20230516 200635	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	23	TRUE	999961	0.164678535545076	0.623853947944297	7047	967	10587	0.176695676167673	41.6054323650296	16.721229452397	58005000	125
20230516 200740	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	566	TRUE	999961	0.0454391560307623	0.672603049733553	6347	669	10263	0.311289612115243	16.7280572111844	0.270929281045091	64740000	126
20230516 201031	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1334	TRUE	999961	0.0157341032308257	0.350125626912676	7922	357	8786	0.0147276102099613	43.6269308969822	0.694367353672375	60885000	127
20230516 201043	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	63	TRUE	999961	0.187461628807533	0.949188763895868	2858	942	11478	18.6915907942374	66.9188191151987	0.327639705154116	61455000	128
20230516 201102	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	129	TRUE	999961	0.181381675473183	0.732300356684674	6904	115	12308	0.42458658670757	76.3455761767699	0.322615818530246	64125000	129
20230516 201124	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	100	TRUE	999961	0.185049127277391	0.43731476894711	5039	377	14128	0.244787236424662	71.1689745346522	0.426754413479411	64665000	130
20230516 201143	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	123	TRUE	999961	0.0559091630063508	0.738471488039813	1609	1006	10316	61.1839338484433	6.35946021752179	0.053852629350153	57735000	131
20230516 201208	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	156	TRUE	999961	0.185263164943869	0.980196868138433	4214	519	11424	1.63098976184319	83.7865238288359	0.311864932837626	64860000	132
